A类题目;;;;;
序号;问题;答案1;答案2;;正确答案
1;养乐多是活性乳酸菌饮品吗？;是;否;;1
2;直肠是存便便的地方么？ ;是;否;;1
3;饿了的时候肚子咕咕叫是因为肠道蠕动么？     ;是;否;;1
4;肠道对人体重要么？ ;是;否;;1
5;肠道是干净的真空环境，所以没有任何细菌的;是;否;;2
6;大肠要比小肠长很多很多。;是;否;;2
7;世界肠道健康日是由养乐多引入中国的么？;是;否;;1
8;不想吃东西与人的精神有关，与肠道是无关的。 ;是;否;;2
9;肠道里不是有益菌就是有害菌;是;否;;2
10;食物先进入胃，然后进入大肠，最后进入小肠;是;否;;2
11;孕妇在预产期不宜服用活性益生菌饮品。　　　　　　　      ;是;否;;2
12;肠胃炎是小病，对人体不会造成严重伤害。;是;否;;2
13;人的胖瘦和肠道是没有关系的。 ;是;否;;2
14;益生菌对人体是没有好处的      　　  ;是;否;;2
15;只有老年人需要补充益生菌;是;否;;2
16;益生菌需要高温保存才能保持活性。　　;是;否;;2
17;活性益生菌是有益菌么？　　;是;否;;1
18;活性益生菌可以帮助调节肠道内的菌群平衡么？;是;否;;1
19;养乐多的封盖能方便撕开，不需要吸管;是;否;;1
20;活性益生菌在进入肠道时不会遇到任何阻碍。;是;否;;2
21;制约活性益生菌进入肠道的敌人是胃酸和胆汁吗？;是;否;;1
22;养乐多培育的干酪乳杆菌代田株不惧胃酸和胆汁，可以活着到达肠道;是;否;;1
23;乳酸饮品和乳酸菌饮品是没有区别的。;是;否;;2
24;肠道内只存在有害菌和中性菌。　 ;是;否;;2
25;益生菌的活性是关键，需要能够抵抗胃液和胆汁的消化作用;是;否;;1
26;益生菌饮品通常需要低温保存;是;否;;1
27;一瓶小小的养乐多中活着100亿个活性益生菌？　;是;否;;1
28;益生菌饮品的好坏与是否是活菌关系不大。;是;否;;2
29;服用抗生素对肠道内有益菌没有任何伤害。;是;否;;2
30;饭前饮用活性益生菌饮品效果更佳？;是;否;;2
31;养乐多的活性乳酸菌饮品可以随时随地饮用。;是;否;;1
32;养乐多的保质期为30天;是;否;;1
33;补充活性益生菌可以调节肠道内的菌群平衡？ ;是;否;;1
34;活性益生菌无法帮助人体改善便秘。 ;是;否;;2
35;每一瓶养乐多活性乳酸菌饮品都需要低温保存;是;否;;1
